COURSE,TITLE,REQUISITES,DESCRIPTION
BMGT347,Quantitative Financial Analysis,Prerequisite: BMGT340; must have completed or be concurrently enrolled in BMGT343. Credit only granted for: BMGT347 or BMGT448G. Formerly: BMGT448G.,"Introduces students to data science for financial applications using an industry-standard programming language. Students will use tools ranging from regression models to machine learning to investigate questions across a variety of areas within finance including asset management, corporate finance and FinTech. The course will illustrate how big data and data analytics can improve financial decision-making by focusing on problems facing finance professionals."
BMGT349,Private Equity and Venture Capital,Prerequisite: Must have completed or be concurrently enrolled in BMGT313 and BMGT340.  Repeatable to 6 credits.  Formerly: BMGT448B.,"The New Markets Private Equity/Venture Capital Clinic allows students to gain professional experience commensurate with that of an Associate in a Venture Capital Firm. Students are trained to buy, own, actively manage and sell high growth technology companies in private transactions. The class format includes: lectures; presentations from guest speakers, including the regions leading CEOs, private equity and service providers; and a series of facilitated exercises that simulate buying, owning and selling businesses.  The course exposes students to real life activities covering the entire deal process from market research, diligence, selection, negotiation valuing, and structuring an investment, as well as management, growth and exit of portfolio companies."
BMGT350,Marketing Principles and Organization,Recommended: ECON200.,"An introduction to the concepts and principles of marketing including the marketing of service and nonprofit organizations. Provides an overview of all the concepts in marketing including relationship marketing, product development, pricing, promotion, marketing research, consumer behavior, international marketing, distribution and internal marketing to employees."
BMGT351,Marketing Research Methods,Prerequisite: BMGT230; and must have completed or be concurrently enrolled in BMGT350. Credit only granted for: BMGT351 or BMGT452. Formerly: BMGT452.,"Focuses on aiding marketing decision-making through exploratory, descriptive and causal research. Develops student skills in designing market research studies, including selection of data collection method, development of data collection instrument, sample design, collection and statistical analysis of data and reporting the results, including data visualization."
BMGT352,Customer-Centric Innovation,"Prerequisite: BMGT350. Credit only granted for: BMGT352, BMGT382 or BMGT456. Formerly: BMGT352.","Addresses the management of new products and services with a focus on the innovation process, specifically the development and launching of new products or services: Opportunity Identification, Concept Generation, Design, Testing and Launch."
BMGT353,Retail Management,Prerequisite: BMGT220 and BMGT350. Credit only granted for: BMGT353 or BMGT453. Formerly: BMGT353.,"Planning and implementing retail marketing strategy. Application to store and non-store (catalog, internet) retailing. Evaluation of how environmental trends in the consumer market, competition, the economy and technology affect retail strategy in the U.S. and global market."
BMGT354,Consumer Analysis,Prerequisite: BMGT350. Credit only granted for: BMGT354 or BMGT451. Formerly: BMGT451.,"Identifying buyer behavior concepts relevant to a specific marketing problem so that appropriate marketing decisions can be made. Conceptual frameworks are drawn from psychology, sociology, economics, and other social sciences to aid in understanding the behavior of ultimate and industrial buyers."
BMGT355,Foundations of Marketing for Non Business Majors,Restriction: Must not have completed BMGT350; and must not be a major in the R.H. Smith School of Business.  Credit only granted for: BMGT355 or BMGT350.  Additional information: Course does not apply to a Smith School degree.  BMGT350 may substitute for BMGT355.,"Introduces the concepts and principles of marketing.  Provides an overview of all the concepts in marketing including relationship marketing, product development, pricing, promotion, marketing research, consumer behavior, international marketing, distribution and internal marketing to employees."
BMGT357,Marketing Internship,Prerequisite: BMGT350. Restriction: Permission of BMGT-Robert H. Smith School of Business; and must be in a major in BMGT-Robert H. Smith School of Business.,"Supervised work experience with a firm engaged in marketing goods or services. Students apply concepts learned in marketing classes and analyze the firm's organizational structure, environment and marketing strategy."
BMGT361,Entrepreneurship: Starting and Managing the Entrepreneurial Venture,"Restriction: Must be in a major in BMGT-Robert H. Smith School of Business; and must be in the Smith Entrepreneurship Fellows Program; and must not have completed BMGT461.  Credit only granted for: BMGT261, BMGT361, or BMGT461.  Formerly: BMGT261.","Focuses on the early development of a new venture. Topics include: idea-getting, opportunity recognition, feasibility studies, new venture financing and startup. Guests speakers and practicing entrepreneurs offer real world guidance. Restricted to students admitted to the Smith Entrepreneurship Fellows Program."
BMGT362,Negotiations,Restriction: Must not have completed COMM425.  Credit only granted for: BMGT362 or COMM425.,"By using a variety of assessment tools, feedback sources, skill-building exercises, and exercise debriefings, this experiential course is designed to enhance students' negotiating self-confidence and improve students' analytical skills, interpersonal skills, creativity and persuasive abilities."
BMGT365,Entrepreneurial Finance and Private Equity,"Prerequisite: BMGT461 or BMGT361. Restriction: Junior standing or higher. Credit only granted for: BMGT365, ENES466, SMLP471 or HLMN471.","Studies venture capital and private equity using a combination of cases, lectures and guest speakers. Addresses how venture capitalists provide capital to start-up firms in growing industries and how private equity markets provide capital to help established medium-sized firms (often family businesses) grow and restructure. Focuses on how financial, legal, and economic issues are dealt with in the financial contracts between venture capitalists and their limited partners and between capitalists (or other private equity investors) and the firms in which they invest."
BMGT366,Growth Strategies for Emerging Companies,Prerequisite: BMGT461 or BMGT361.  Restriction: Junior standing or higher.,"Offers practical management tools that are needed to build a new venture into a significant enterprise. The competencies, strategies and structures of successful high performance businesses are studied through cases, videos and guest lecturers. Topics include leadership, internal growth strategies, merger, acquisition and franchising."
BMGT367,Career Search Strategies in Business,Restriction: Must be in a major in BMGT-Robert H. Smith School of Business.,"An overview and opportunity to practice job search skills critical to obtaining internships and full-time positions. Course will cover strategies for exploring career options, preparing job search materials, development of job search skills such as interviewing and networking. Students are encouraged to take this course in the sophomore or junior year."
BMGT369,Experiential Learning in Business Innovation and Entrepreneurship,"Repeatable to 15 credits if content differs.  Additional information: Priority will be given to students enrolled in the Management Major, Innovation and Entrepreneurship Minor, and the General Business Minor.",Selected experiential learning opportunities in business innovation and entrepreneurship
BMGT372,Introduction to Logistics and Supply Chain Management,Credit only granted for: BMGT375 or BMGT372.,"Supply chain management involves the coordination of suppliers, manufacturers, distributors, and retailers to ensure that products and services are available to the final consumer in a timely and cost-effective fashion. Logistics management is the subset of supply chain management dealing with the physical flows of product and includes such activities as transportation management, warehousing, materials handling, inventory management, and order fulfillment. Attention is paid to the logistics cost trade-offs within the firm and between members of the supply chain."
BMGT373,Supply Chain Management Internship,Prerequisite: BMGT370 or BMGT372.  Restriction: Permission of BMGT-Robert H. Smith School of Business.,"Involves supervised work experience in supply chain management, logistics and/or transportation. Students will be expected to relate course material to work experience in an analysis of a firm's operations."
BMGT374,Supply Chain Risk Management,Credit only granted for: BMGT478C or BMGT374. Formerly: BMGT478C.,"Since supply chain risk is increasingly more recognized as an organizational threat, and therefore a critical part of corporate strategy; this course examines a wide range of supply chain risk and develops a process to identify, assess, and prioritize this risk. Through a series of readings and case studies, the course focuses on factors that contribute to supply chain risk within the firm as well as the supply chain. Strategies to mitigate risk are explored."
BMGT375,Supply Chain Management for Non Business Majors,Restriction: Must not have completed BMGT372; and must not be a major in the Robert H. Smith School of Business. Credit only granted for: BMGT375 or BMGT372. Additional information: Course does not apply to a Smith School degree. Course may be substituted by BMGT372 for General Business minor students only.,"Examines management decision-making in the design, implementation and coordination of a firm's supply chain activities. Topics include transportation management, warehousing, materials handling, inventory management, and order fulfillment."
BMGT381,Business Law II,Prerequisite: BMGT380; or permission of BMGT-Robert H. Smith School of Business.,"The Uniform Commercial Code, including sales, commercial paper, secured transactions, bulk sales and documents of title. The law of partnerships and corporations. Reorganization and liquidation under the bankruptcy laws. The law of real property, landlord and tenant relationships and decedents' estates."
BMGT382,Marketing and Innovation for Entrepreneurs,"Restriction: Must not have completed BMGT352. Credit only granted for: BMGT352, BMGT382 or BMGT456. Additional information: Course will not satisfy a Marketing major requirement.","Marketing and Innovation are two critically important activities that determine success in any business venture. This course will focus on understanding the fundamentals of marketing and innovation from the perspective of an entrepreneur. At a broad level, we will apply proven marketing frameworks (STP and 4Ps) to effectively deliver innovation in an entrepreneurial context."
BMGT385,Operations Management,Credit only granted for: BMGT385 or ENME426.,"Studies the design, management and improvement of a firm's processes and systems for creation and delivery of products and services. Includes strategic and operational views of supply chain, product development, and capacity analysis, highlighting the competitive advantages that operations management can provide the firm."
BMGT386,General Business Internship,Restriction: Permission of BMGT-Robert H. Smith School of Business; and must be in a major in BMGT-Robert H. Smith School of Business.,Supervised work experience in business. Students will be expected to relate course material to work experience in an analysis of a firm's operations.
BMGT390,Designing Innovative Systems,Prerequisite: ENES190 or BMGT190. Restriction: Must be in the QUEST program. Cross-listed with: ENES390. Credit only granted for: BMGT390 or ENES390.,"QUEST students develop an understanding of complex systems that incorporate elements of business and technical design and analyze how these systems evolve over time and may be shaped by technology disruptions, internal decisions, and external forces. Students apply these concepts to real-world complex systems in a team environment."
BMGT392,Introduction to International Business Management,Prerequisite: ECON200.,"A study of the domestic and foreign environmental factors affecting the international operations of U.S. business firms. The course also covers the administrative aspects of international marketing, finance and management."
BMGT395,Principles of Management for Non Business Majors,Restriction: Must not have completed BMGT364; and must not be a major in the Robert H. Smith School of Business. Credit only granted for: BMGT395 or BMGT364. Additional information: Course does not apply to a Smith School degree. Course may be substituted by BMGT364 for General Business minor students only.,"Introduces concepts related to organization behavior. Topics include leadership, team decision making and management, conflict resolution and negotiations, organizational culture, and organization change. Students will learn how to apply those concepts and theories to understanding and critically analyzing various individual, interpersonal, group, and organizational management processes."
BMGT397,Mentoring Multidisciplinary Teams,Restriction: Restricted to QUEST Program (TQMP) students. Cross-listed with: ENES397. Credit only granted for: BMGT397 or ENES397.,"QUEST students practice essential skills for mentoring and coaching multidisciplinary teams. These include effective communications, facilitation, conflict resolution, and the ability to motivate. Students will practice these skills as mentors for student teams from BMGT/ENES 190H. In the process, they will strengthen their knowledge of design and quality techniques."
BMGT402,Database Systems,Recommended: BMGT302.  Credit only granted for: INST327 or BMGT402.,"The fundamentals of database management systems (DBMS), data models, query processing, and data warehouses, and their application in the development of business information systems will be covered. An important goal of this course is to understand the value of information resources and information management challenges within an organization."
BMGT403,Systems Analysis and Design,Prerequisite: BMGT301; or students who have taken courses with comparable content may contact the department.  Recommended: BMGT302.,"Techniques and tools applicable to the analysis and design of computer-based information systems. System life cycle, requirements analysis, logical design of databases and performance evaluation. Emphasis on case studies. Project required that involves the design, analysis and implementation of an information system."
BMGT404,Essential Data Skills for Business Analytics,Prerequisite: BMGT302. Credit only granted for: BMGT404 or CMSC320. Additional information: CMSC majors will not receive credit for this course towards their upper level concentration in their CMSC major.,"Building on prior programming knowledge, this course introduces principles of data science to collect, analyze, and visualize business data. Students will explore application of business analytics in areas such as finance, accounting, marketing, and operations. This course especially emphasizes learning by doing exercises using a modern, high-level programming language and industry standard software."
BMGT405,Business Telecommunications,Prerequisite: BMGT301; or students who have taken courses with comparable content may contact the department. Credit only granted for: INST346 or BMGT405.,"Concepts of business data communications and data processing. Application of these ideas in computer networks, including basic principles of telecommunications technology, computer network technology, data management in distributed database systems and management of the technical and functional components of telecommunications technology."
BMGT406,Developing Applications for the Web and Social Media,Prerequisite: BMGT402 and BMGT302.  Restriction: Must be in a major in BMGT-Robert H. Smith School of Business.  Credit only granted for: INST377 or BMGT406.,"The design and development of Web applications and the underlying platforms and standards for Web application development will be covered. It will examine the phenomenon of social media, social networking and crowdsourcing and understand their use within organizations."
BMGT407,Information Systems Projects,Prerequisite: BMGT402 and BMGT403. Restriction: Senior standing.,Senior capstone course for the information systems major. Collected knowledge from the IS courses and application to significant problems of size and complexity. State-of-the-art research ideas and current business and industrial practices in information systems.
BMGT408,Emerging Topics in Information Systems,Restriction: Permission of BMGT-Robert H. Smith School of Business. Repeatable to 9 credits if content differs.,Selected advanced topics covering emerging developments in the field of decision and information technologies.
BMGT410,Government Accounting,Prerequisite: BMGT221.,"An introduction to the theory and practice of accounting and financial reporting as applied in both federal and state/local governments, with a focus on generally accepted accounting principles applicable in each. Topics include analyzing transactions; recognizing transactions in the accounting cycles; and preparing and analyzing financial statements and the overall financial reports at both the federal and state/local government levels."
BMGT411,Ethics and Professionalism in Accounting,Prerequisite: BMGT311.  Restriction: Must be in Accounting program.,Analysis and discussion of issues relating to ethics and professionalism in accounting.
BMGT417,"Taxation of Corporations, Partnerships and Estates",Prerequisite: BMGT221.,"Federal taxation of corporations using the life-cycle approach-formation, operation, assessment, merger, reorganization and liquidation. Overviews of pass-through entities - partnerships and s-corporations -using the life-cycle approach, and the tax consequences of wealth transfers by individuals - gift and estate taxation. Both tax planning and compliance issues are addressed."
BMGT422,Auditing Theory and Practice,Prerequisite: BMGT310; and must have completed or be concurrently enrolled in BMGT311.,"A study of the independent accountant's attest function, generally accepted auditing standards, compliance and substantive tests and report forms and opinions."
BMGT423,Fraud Examination,Prerequisite: BMGT220 or BMGT210.,"The focus of this course in fraud accounting is on fraud prevention, detection, and investigation as relevant to accountants and fraud examiners.  Most organizations are affected to some degree by the occurrence of fraud, whether or not reported.  It is estimated that organizations, WORLDWIDE, lost roughly 5% of their annual revenues to fraud.  Despite advances in technology, the problem of fraud continues to escalate; and in particular, cybercrime is growing at an alarming rate.   The course will serve as an introduction to all of the topics covered in the Certified Fraud Examiner (CFE) examination.  While not purporting to be an exam preparation course, the diligent student could be CFE exam ready soon after taking this course.  This course provides an introduction to the profession of fraud examination for accounting majors or for individuals seeking to satisfy the educational requirements for the CPA examination."
BMGT424,Advanced Accounting,Prerequisite: BMGT311.,Advanced accounting theory applied to specialized topics and current problems. Emphasis on consolidated statements and partnership accounting.
BMGT426,Advanced Cost Accounting,Prerequisite: BMGT321.,Advanced cost accounting with emphasis on managerial aspects of internal record-keeping and control systems.
BMGT428,Special Topics in Accounting,Prerequisite: BMGT310.  Restriction: Must be in Accounting program. Repeatable to 9 credits if content differs.,Selected advanced topics in Accounting.
BMGT430,Data Modeling in Business,Prerequisite: BMGT231 or BMGT230; or permission of BMGT-Robert H. Smith School of Business.,"Explores the role of statistical models in business analytics to drive managerial decision-making and improve performance through the use of relevant data-motivated examples.  Topics include regression models (both simple and multiple regression, as well as logistic regression for binary data), model validation, variable transformation, variable selection, discriminant analysis, and forecasting.  These topics are modeled using state-of-the-art data analytics software."
BMGT431,Data Analytics,Prerequisite: BMGT430.,"An introduction to the tools and techniques that are central to the analysis of abundant data that is being collected in many forms including web traffic, social network data, and reviews and comments on websites."
BMGT434,Analytics Consulting: Cases and Projects,Prerequisite: BMGT332 and BMGT385.,"This course assumes that students have already been introduced to the concepts and techniques of operations research/business analytics (OR/BA). Published papers, short cases, and projects in OR/BA will be analyzed and discussed in a thoughtful way, taking into account the soft (people-related) issues and the hard (mathematical/optimization) issues."
BMGT435,Business Process Simulation,Prerequisite: BMGT332 and BMGT385.,"Covers the methods for computer simulation modeling and analysis of complex systems. Students are assumed to have been introduced to the basic techniques and applications in the field of operations management and business analytics. Course emphasis is on modeling of real-world systems (for example, inventory or queueing systems), implementing simulations in special purpose software, and analyzing simulation results."
BMGT438,Special Topics in Operations Management,Repeatable to 6 credits if content differs.,Selected advanced topics in operations management.
BMGT440,Advanced Financial Management,Prerequisite: BMGT340.,Analysis and discussion of cases and readings relating to financial decisions of the firm. The application of finance concepts to the solution of financial problems is emphasized.
BMGT441,Fixed Income,Prerequisite: BMGT340.,Describes important financial instruments which have market values that are sensitive to interest rate movements. Develops tools to analyze interest rate sensitivity and value fixed income securities. Defines and explains the vocabulary of the bond management business.
BMGT442,Advanced Portfolio Management,Prerequisite: BMGT343 and BMGT347.,An in-depth coverage of statistical methods for choosing stocks is provided. Financial markets data is used in the class. Students are also expected to learn and use an industry-standard programming language during the class to implement the concepts of the class.
BMGT443,Applied Equity Analysis and Portfolio Management,Prerequisite: BMGT343.,"Study and application of the concepts, methods, models, and empirical findings to the analysis, valuation and selection of securities, especially common stock."
BMGT444,Futures and Options Contracts,Prerequisite: BMGT343.  Credit only granted for: BMGT444 or MATH424.,"The institutional features and economic rationale underlying markets in futures and options. Hedging, speculation, structure of futures prices, interest rate futures, efficiency in futures markets and stock and commodity options."
BMGT445,Banking and Financial Institutions,Prerequisite: BMGT340.  Recommended: ECON330 or BMGT341.,"Analysis and discussion of cases and readings in commercial bank management. The loan function is emphasized; also the management of liquidity reserves, investments for income and source of funds. Bank objectives, functions, policies, organization, structure, services and regulation are considered."
BMGT446,International Finance,Prerequisite: BMGT340.,"Financial management from the perspective of the multinational corporation. Topics covered include the organization and functions of foreign exchange and international capital markets, international capital budgeting, financing foreign trade and designing a global financing strategy. Emphasis of the course is on how to manage exchange and political risks while maximizing benefits from global opportunity sets faced by the firm."
BMGT447,Internship and Research in Finance,Prerequisite: BMGT343. Credit only granted for: BMGT447 or BMGT448E. Formerly: BMGT448E.,"Students will be introduced to tools for solving financial problems, specifically Excel functions and techniques, Visual Basic (VBA) Programming and Monte Carlo method & variations. Students will then apply these tools to solve problems related to options valuation, portfolio management, and risk management."
BMGT448,Special Topics in Finance,Repeatable to 9 credits if content differs.,Selected advanced topics in finance.
BMGT449,Investment Fund Management: Lemma Senbet Fund,Prerequisite: BMGT343.  Corequisite: BMGT443.  Restriction: Permission of BMGT-Robert H. Smith School of Business.  Repeatable to 6 credits if content differs.,"The Lemma Senbet Fund is a year-long, advanced finance course available to undergraduate finance majors in their senior year. Ten to twelve students will be selected in the spring of their junior year to participate on the fund, two as portfolio managers and eight to ten as equity analysts. The course provides students with the opportunity to apply what they have learned in finance classes to actual investment decisions, through researching real companies and managing a portfolio of real money."
BMGT450,Integrated Marketing Communications,Prerequisite: BMGT350. Restriction: Must be in a major in BMGT-Robert H. Smith School of Business.,"In-depth study of coordinated marketing activities including advertising, sales promotion, Internet marketing, direct marketing and personal selling. Emphasizes strategic planning to effectively use these promotional tools to communicate with customers and meet marketing goals. Blends theory and current practice to provide managerial orientation."
BMGT451,Consumer Analysis,Prerequisite: BMGT350. Credit only granted for: BMGT354 or BMGT451. Formerly: BMGT451.,"Identifying buyer behavior concepts relevant to a specific marketing problem so that appropriate marketing decisions can be made. Conceptual frameworks are drawn from psychology, sociology, economics, and other social sciences to aid in understanding the behavior of ultimate and industrial buyers."
BMGT452,Marketing Research Methods,Prerequisite: BMGT230; and must have completed or be concurrently enrolled in BMGT350. Credit only granted for: BMGT351 or BMGT452. Formerly: BMGT452.,"Focuses on aiding marketing decision-making through exploratory, descriptive and causal research. Develops student skills in designing market research studies, including selection of data collection method, development of data collection instrument, sample design, collection and statistical analysis of data and reporting the results, including data visualization."
BMGT453,Retail Management,Prerequisite: BMGT220 and BMGT350. Credit only granted for: BMGT353 or BMGT453. Formerly: BMGT353.,"Planning and implementing retail marketing strategy. Application to store and non-store (catalog, internet) retailing. Evaluation of how environmental trends in the consumer market, competition, the economy and technology affect retail strategy in the U.S. and global market."
BMGT454,Global Marketing,Prerequisite: BMGT350.,"Marketing functions from the global executive's viewpoint, including coverage of global marketing policies relating to product adaptation, data collection and analysis, channels of distribution, pricing, communications and cost analysis. Consideration is given to the cultural, legal, financial and organizational aspects of global marketing."
BMGT455,Sales Management,Prerequisite: BMGT350.,"The roles of the sales executive as a planner, manager of resources and marketing functions and recruiter, trainer, motivator and leader of field sales personnel. Techniques and sequence of problem analysis for selling and sales management decisions and to the practical framework in which these decisions take place. Teaching vehicles feature strong classroom interactions, cases, journal articles, research findings, guest sales managers, debates, and modern company practices."
BMGT456,Customer-Centric Innovation,"Prerequisite: BMGT350. Credit only granted for: BMGT352, BMGT382 or BMGT456. Formerly: BMGT352.","Addresses the management of new products and services with a focus on the innovation process, specifically the development and launching of new products or services: Opportunity Identification, Concept Generation, Design, Testing and Launch."
BMGT457,Marketing Policies and Strategies,Prerequisite: BMGT350.,This capstone course ties together various marketing concepts using the fundamentals of strategic market planning as the framework. Application of these principles is accomplished by analyzing and discussing cases and by playing a marketing strategy computer simulation game. Analysis of current business articles to understand the link between theory and real-world problem solving.
BMGT458,Special Topics in Marketing,Repeatable to 6 credits if content differs.,Selected advanced topics in marketing.
BMGT461,Entrepreneurship,"Restriction: Must not have completed BMGT361. Credit only granted for: BMGT261, BMGT361, BMGT461, ENES460, SMLP470 or HLMN470.","Process of creating new ventures, including evaluating the entrepreneurial team, the opportunity and the financing requirements. Skills, concepts, mental attitudes and knowledge relevant for starting a new business."
BMGT463,Cross-cultural Challenges in Business,Restriction: Must be in a major in BMGT-Robert H. Smith School of Business.,Examines in depth the nature of international cultural value-differences and their behavioral-related effects in the workplace. Topics include decision-making and leadership styles and reactions to various work assignments and reward structures.
BMGT464,Organizational Behavior,Prerequisite: BMGT364.,"An examination of research and theory concerning the forces which contribute to the behavior of organizational members. Topics covered include work group behavior, supervisory behavior, intergroup relations, employee goals and attitudes, communication problems, organizational change and organizational goals and design."
BMGT465,Business Plan For The New Venture,Prerequisite: BMGT461 or BMGT361.,Each student focuses on the production of a business plan that will be accepted for an annual business plan competition. Business plans of sufficient quality may be submitted to attract financing. Topics include a deep review of business construction and its derivative short forms.
BMGT466,Global Business Strategy,Restriction: Must be in a major in BMGT-Robert H. Smith School of Business.,"Focuses on the strategic challenges that directly result from and are associated with the globalization of industries and companies. Topics include drivers of industry globalization, difference between global and multi-domestic industry, global expansion strategies, sources of competitive advantage in a global context, and coordination of a company across a global network."
BMGT467,Strategic Innovation and Entrepreneurship,"Credit only granted for: BMGT467, ENES463 or HLMN472.","Provides an understanding of how innovation affects the competitive dynamics of markets, how firms can strategically manage innovation, and how firms can create and implement strategies to maximize their likelihood of success."
BMGT468,Special Topics in Management and Organization,Repeatable to 6 credits if content differs.,Selected advanced topics in management and organization.
BMGT469,Management and Organization Short-term Study Abroad,Repeatable to 9 credits if content differs.,Selected short-term study abroad topics in management and organization.
BMGT470,Advanced Transportation Management,Prerequisite: BMGT370.,"The study of the wide range of issues facing managers in transportation. This includes decisions on market entry, pricing, competitive responses, service levels, marketing strategies, capital structure, and growth objectives. Specific management decisions and overall strategies pursued by management are examined."
BMGT471,Supply Chain Consulting Fellows I,Prerequisite: BMGT372.,"Prepares students for a career in Intermodal/Logistics/and Supply Chain Management.  Designed to enhance student analytical skills in tackling issues of direct relevance to the operating efficiency and profitability of individual firms.  Student will have direct exchanges with executive leaders in this field through participation in national conferences and in-class visits.  Students will participate in a national student case competition that focuses on a critical issue facing the industry leaders.  Under the direction of the instructor, students conduct academic research on key topics that represent real-world consulting engagements designed to address critical issues faced by the individual companies and result in research-based solutions to these current challenges."
BMGT472,Purchasing and Inbound Logistics,Prerequisite: BMGT372.,"Analysis of the resupply activities of logistics management, including purchasing policies, transportation planning, and inventory control. Attention is directed toward total cost minimization and the establishment of a sustainable competitive advantage based on procurement."
BMGT473,Supply Chain Consulting Fellows II,"Prerequisite: BMGT370, BMGT372 and BMGT471. Credit only granted for: BMGT478D or BMGT473. Formerly: BMGT478D.","This second course of the Supply Chain Consulting Fellows program is designed to build upon the skills and concepts learned in the initial course to produce polished, skilled consultants who can build a consulting project from its initial stages and carry it through to a set of actionable initiatives and conclusive results.  The initial component of this course will be to enhance and complete the started projects in the previous semester's course so that each research project can be formally presented to the project sponsor, i.e., the Board of Advisors for the Intermodal Association of North America. Student teams will serve as project consultants and tackle a real-world problem presented by a designated firm.  Students will also participate in a national conference devoted to Intermodal/Logistics/Supply Chain issues.  The conference will involve individual academic sessions and reports by the students based on the content provided.  The class will also include several Executive Leader sessions."
BMGT475,Supply Chain Strategy and Network Design,Prerequisite: BMGT372.,"Analysis of the strategic aspects of supply chain management. Emphasis on the creation of end-user value through supply chain cost reductions, service improvements or both. Attention is directed toward the enabling role of technology in support of strategy evaluation and implementation."
BMGT476,Technology Applications in Supply Chain Management,Prerequisite: BMGT372.,An understanding of the role of technology in managing the supply chain. Provides students with hands-on experience in advanced software systems that build on top of enterprise resource planning systems. Major emphasis is placed on demonstrating that these systems result in supply chain cost reductions and service improvements.
BMGT478,Special Topics in Supply Chain Management,Repeatable to 9 credits if content differs.  Additional information: Course prerequisites will vary depending on the topic.  A maximum of 3 credits of BMGT478 course work can fulfill Supply Chain Management major requirements.,Selected advanced topics in supply chain management.
BMGT482,Business and Government,Prerequisite: ECON200.,Focus is on the complex interrelationships between business and government. Explores areas in which business and government are allies (cooperative research and financing program) and adversaries (regulation). Emphasizes a strategic management approach by business to government involvement in economic affairs.
BMGT483,Sports Management Program Capstone,Prerequisite: BMGT383.,"Through interdisciplinary collaboration, students will work in teams to apply their knowledge and skills in sports management to a real-world case. Student teams will be charged to develop innovative and creative solutions to sports management challenges while considering the ethical implications of their proposals."
BMGT484,Digital Marketing,Prerequisite: BMGT350.  Restriction: Must be in a major in BMGT-Robert H. Smith School of Business.,"Examines the process of developing, implementing, and analyzing strategies for successfully marketing a variety of existing and potential products and services through digital means, including the web, social media, and mobile apps. Both the development and analysis of digital media for marketing will be discussed."
BMGT485,Project Management,"Prerequisite: BMGT231 or BMGT230; or students who have taken courses with comparable content may contact the department. Restriction: Must be in a major in BMGT-Robert H. Smith School of Business. Credit only granted for: BMGT485, ENCE320, ENCE325, INST408O or INST453.","Modern project management techniques that are used by modern practicing professionals will be covered. Particular attention is given to the management of technology based systems and projects in a business enterprise. The topics covered include: defining project scope, alignment of projects with enterprise strategy, managing project cost, time and risks using tools such as CPM/PERT, and measuring project performance."
BMGT487,Six Sigma Innovation,"Prerequisite: STAT400, BMGT231, BMGT230, or ENME392.","Enhances the overall understanding of Six Sigma Strategy, Tools and Methods to positively influence the performance of a business process, a product or service. Highlights the application of Define-Measure-Analyze-Improve-Control (DMAIC),Design For Six Sigma (DFSS), and the pursuit of Critical to Quality criteria (CTQ's) in a collaborative perspective, one that recognizes a balance between efficiency, and effectiveness and between statistical analysis and statistical thinking."
BMGT488,"Special Topics in Logistics, Business, and Public Policy",Repeatable to 6 credits if content differs.,"Selected advanced topics in logistics, business and public policy."
BMGT490,QUEST Capstone Professional Practicum,Prerequisite: ENES390 or BMGT390. Cross-listed with: ENES490. Credit only granted for: BMGT490 or ENES490.,"The capstone course for the QUEST Honors Program provides students with an opportunity to learn in multidisciplinary teams of business, engineering, and science students in a real-world setting. Companies engage teams of QUEST students with real organizational challenges and dedicate resources to help students address these problems. Student teams must enhance their skills in quality management, process improvement, and systems design and will apply these to add value to a client. In the process, students will improve their teamwork skills."
BMGT491,Scoping Experiential Learning Projects,Prerequisite: BMGT190 or ENES190. Restriction: Restricted to QUEST Program (TQMP) students. Cross-listed with: ENES491. Credit only granted for: BMGT491 or ENES491.,"QUEST students cultivate relationships with new and current corporate partners and prepare project scopes for QUEST's introductory course, BMGT/ENES 190H, and capstone course, BMGT/ENES 490H. Requires independent work communicating with clients and class visits to a variety of potential project sites."
BMGT493,Honors Study,Restriction: Permission of BMGT-Robert H. Smith School of Business.,First semester of the senior year. The course is designed for honors students who have elected to conduct intensive study (independent or group). The student will work under the direct guidance of a faculty advisor and the Assistant Dean of Undergraduate Studies. They shall determine that the area of study is of a scope and intensity deserving of a candidate's attention. Formal written and/or oral reports on the study may be required by the faculty advisor.
BMGT494,Honors Study,Prerequisite: BMGT493.  Restriction: Permission of BMGT-Robert H. Smith School of Business; and must be in the Smith School Honors Fellows program.,"Second semester of the senior year. The student shall continue and complete the research initiated in BMGT 493, additional reports may be required at the discretion of the faculty advisor and Assistant Dean of Undergraduate Studies."
BMGT496,Business Ethics and Society,Prerequisite: 1 course in BMGT; or permission of BMGT-Robert H. Smith School of Business.,"A study of the standards of business conduct, morals and values as well as the role of business in society with consideration of the sometimes conflicting interests of and claims on the firm and its objectives. Emphasizes a strategic approach by business to the management of its external environment."
BMGT498,Special Topics in Business and Management,Restriction: Permission of BMGT-Robert H. Smith School of Business. Repeatable to 6 credits if content differs.,Special topics in business and management designed to meet the changing needs and interests of students and faculty.
BMGT499,Advanced Business Topics,Restriction: Must be in a major in BMGT-Robert H. Smith School of Business.  Repeatable to 3 credits if content differs.,"Course will delve deeply into a specific business topic. Based on experience and knowledge from undergraduate core business classes, students will examine a particular subject from various angles."
CMSC100,Bits and Bytes of Computer and Information Sciences,Restriction: For first time freshmen and first time transfer students. Cross-listed with: INST101. Credit only granted for: CMSC100 or INST101.,"Students are introduced to the fields (and disciplines) of computer science and information science within a small classroom setting. They will learn to make a successful transition from high school to the university, while exploring study skills, student success plans and research opportunities."
